"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"58","GO:0016311",0.0111000958286001,5.01734957548911,0.876739847897833,4,47,"dephosphorylation"
"59","GO:0019222",0.011397483546405,1.97533460103854,9.34567369780456,17,501,"regulation of metabolic process"
"60","GO:0042401",0.011409214720407,15.25,0.167886353852777,2,9,"cellular biogenic amine biosynthetic process"
"61","GO:0009309",0.011409214720407,15.25,0.167886353852777,2,9,"amine biosynthetic process"
"62","GO:0001932",0.0120541536526828,7.00034234851078,0.485005022241355,3,26,"regulation of protein phosphorylation"
"63","GO:0005991",0.0140886213036044,13.341796875,0.186540393169752,2,10,"trehalose metabolic process"
"64","GO:0005984",0.0140886213036044,13.341796875,0.186540393169752,2,10,"disaccharide metabolic process"
"65","GO:0051246",0.0146918208989964,4.58763931104357,0.951356005165734,4,51,"regulation of protein metabolic process"
"66","GO:0044724",0.0147838802809189,6.43842519685039,0.522313100875305,3,28,"single-organism carbohydrate catabolic process"
"67","GO:0051338",0.0147838802809189,6.43842519685039,0.522313100875305,3,28,"regulation of transferase activity"
"68","GO:0042325",0.0147838802809189,6.43842519685039,0.522313100875305,3,28,"regulation of phosphorylation"
"69","GO:0006144",0.0201664391298392,10.6703125,0.223848471803702,2,12,"purine nucleobase metabolic process"
"70","GO:0019318",0.021210604391884,5.54710833559598,0.596929258143206,3,32,"hexose metabolic process"
"71","GO:0044242",0.0271386306079441,8.88932291666667,0.261156550437652,2,14,"cellular lipid catabolic process"
"72","GO:0009311",0.0271386306079441,8.88932291666667,0.261156550437652,2,14,"oligosaccharide metabolic process"
"73","GO:0006796",0.0299776493832316,1.7213490704501,11.2297316688191,18,602,"phosphate-containing compound metabolic process"
"74","GO:0051726",0.0332898489482864,4.59212598425197,0.708853494045057,3,38,"regulation of cell cycle"
"75","GO:0006793",0.0345440143185188,1.6896645021645,11.4162720619888,18,612,"phosphorus metabolic process"
"76","GO:0042726",0.0349318169465242,7.6171875,0.298464629071603,2,16,"flavin-containing compound metabolic process"
"77","GO:0042727",0.0349318169465242,7.6171875,0.298464629071603,2,16,"flavin-containing compound biosynthetic process"
"78","GO:0006771",0.0349318169465242,7.6171875,0.298464629071603,2,16,"riboflavin metabolic process"
"79","GO:0009231",0.0349318169465242,7.6171875,0.298464629071603,2,16,"riboflavin biosynthetic process"
"80","GO:1902652",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"secondary alcohol metabolic process"
"81","GO:0034077",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"butanediol metabolic process"
"82","GO:0005980",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"glycogen catabolic process"
"83","GO:0035303",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"regulation of dephosphorylation"
"84","GO:0035304",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"regulation of protein dephosphorylation"
"85","GO:0042844",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"glycol metabolic process"
"86","GO:0034311",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"diol metabolic process"
"87","GO:0046168",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"glycerol-3-phosphate catabolic process"
"88","GO:0043666",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"regulation of phosphoprotein phosphatase activity"
"89","GO:0010921",0.0369627326133004,53.0077519379845,0.0373080786339504,1,2,"regulation of phosphatase activity"
"90","GO:0045454",0.0404165493451917,4.2277248238707,0.764815611995982,3,41,"cell redox homeostasis"
